#Quelle: http://www.brefeld.homepage.t-online.de/lottoquoten.html
#Lottozahl	Beliebtheit	Lottozahl	Beliebtheit	Lottozahl	Beliebtheit	Lottozahl	Beliebtheit
15	0.797	48	0.898	16	0.977	  5	1.127
43	0.803	47	0.906	41	0.991	12	1.130
36	0.813	21	0.911	  8	1.013	  4	1.144
35	0.815	20	0.918	  2	1.015	17	1.149
44	0.818	  1	0.923	31	1.026	  6	1.168
46	0.822	37	0.930	23	1.036	32	1.176
45	0.845	49	0.931	13	1.046	24	1.178
29	0.845	30	0.946	27	1.051	10	1.198
14	0.857	34	0.955	33	1.075	19	1.207
28	0.873	39	0.960	18	1.076	  3	1.244
42	0.883	40	0.969	26	1.113	11	1.262
22	0.891	38	0.977	25	1.127	  7	1.283
 9	1.312
