#Quelle: http://www.brefeld.homepage.t-online.de/lottoquoten.html
#Lottozahl	Beliebtheit	Lottozahl	Beliebtheit	Lottozahl	Beliebtheit	Lottozahl	Beliebtheit
43	0.807	34	0.885	2	0.989	32	1.089
14	0.816	22	0.909	49	0.992	10	1.110
35	0.829	28	0.914	23	0.993	18	1.115
36	0.833	40	0.920	41	1.008	26	1.117
44	0.855	1	0.926	13	1.023	6	1.126
45	0.857	48	0.933	27	1.036	5	1.131
29	0.859	37	0.953	38	1.048	12	1.140
20	0.869	47	0.955	33	1.066	3	1.182
21	0.872	30	0.975	25	1.071	19	1.191
46	0.875	39	0.979	24	1.075	11	1.202
15	0.876   8	0.984	31	1.076	17	1.256
42	0.881	16	0.986	4	1.088	9	1.267
7	1.337
